name,rating,price,no_of_ratings,no_of_reviews
Generic LED 2.4G Rechargeable Wireless Mouse,4.5 out of 5,KSh 660,(492 verified ratings),Product Reviews (232)
Oraimo Silver Edition Smart Watch 1.69'' IPS Screen IP68,4.3 out of 5,"KSh 4,300",(108 verified ratings),Product Reviews (56)
T&G Wireless Bluetooth Speaker With Phone Holder-Black,4.3 out of 5,"KSh 1,049",(221 verified ratings),Product Reviews (91)
Oraimo Riff Smaller For Comfort True Wireless Earbuds - White,4.4 out of 5,"KSh 2,400",(37 verified ratings),Product Reviews (18)
Qcy T13 Bluetooth Headsets BT 5.1 Noise Canceling Earphones IPX5 Waterproof True Wireless 4-Mic & ENC Headphone 40H Battery Life,4.5 out of 5,"KSh 1,899",(60 verified ratings),Product Reviews (39)
Generic Micro SD Memory Card - 32GB - Black,3.8 out of 5,KSh 537,(89 verified ratings),Product Reviews (43)
Generic Colorful Wireless Mouse 2.4G Rechargeable,4.6 out of 5,KSh 590,(295 verified ratings),Product Reviews (132)
Qcy T1C Bluetooth Earphones Wireless HIFI Stereo 20 Hours Battery Life,4.4 out of 5,"KSh 1,399",(25 verified ratings),Product Reviews (13)
Generic Smartwatch 1.5 Inch Touchscreen Fitness Watch For Women,4 out of 5,"KSh 1,790",(109 verified ratings),Product Reviews (40)
Generic Macaroon Bluetooth Wireless EarphonesEarbuds-White,3.8 out of 5,KSh 468,(71 verified ratings),Product Reviews (23)
Generic I Watch Series 5 Full Touch Sports Smart Watch,3.9 out of 5,"KSh 1,790",(78 verified ratings),Product Reviews (37)
Generic 12 Bluetooth Wireless Earphone Earbuds Good Value,4.2 out of 5,KSh 904,(31 verified ratings),Product Reviews (8)
Generic U3 64GB Phone SD Memory Driving Recorder TF Card,4.3 out of 5,KSh 699,(58 verified ratings),Product Reviews (22)
Fashion Women's Short Sleeve Dress Evening Dresses,3.7 out of 5,"KSh 1,220",(65 verified ratings),Product Reviews (32)
Fashion Ladies Fashion Office Dresses Turkey Floral - Blue,3.8 out of 5,"KSh 1,000 - KSh 1,200",(37 verified ratings),Product Reviews (14)
Fashion 3 In 1 Women Bag Crossbody Bag Handbag Female Messenger Shoulder Bag Wallet,3.8 out of 5,"KSh 1,299",(319 verified ratings),Product Reviews (103)
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,3.6 out of 5,KSh 489,(68 verified ratings),Product Reviews (18)
Fashion Women Earring Set - 9 Pair,3.8 out of 5,KSh 450,(68 verified ratings),Product Reviews (24)
Fashion Sneakers Women Shoes Women's Shoes Ladies,3.5 out of 5,KSh 589 - KSh 719,(105 verified ratings),Product Reviews (37)
Fashion Ladies Official Long Turkey Dresses - Black,3.4 out of 5,"KSh 1,000 - KSh 1,218",(111 verified ratings),Product Reviews (45)
Fashion Diamond Jewelry Engagement Wedding Ring Silver For Women,4.2 out of 5,KSh 293,(65 verified ratings),Product Reviews (27)
Fashion Ladies Fashion Zircon Diamond Engagement Wedding Ring Jewelry- Gold,3.9 out of 5,KSh 238,(27 verified ratings),Product Reviews (10)
